"","Date","Time","Direction","Count"
"1",2012-10-02,"12:00:00 AM","NB",0
"2",2012-10-02,"01:00:00 AM","NB",0
"3",2012-10-02,"02:00:00 AM","NB",0
"4",2012-10-02,"03:00:00 AM","NB",0
"5",2012-10-02,"04:00:00 AM","NB",0
"6",2012-10-02,"05:00:00 AM","NB",0
"7",2012-10-02,"06:00:00 AM","NB",0
"8",2012-10-02,"07:00:00 AM","NB",0
"9",2012-10-02,"08:00:00 AM","NB",0
"10",2012-10-02,"09:00:00 AM","NB",0
"11",2012-10-02,"10:00:00 AM","NB",0
"12",2012-10-02,"11:00:00 AM","NB",0
"13",2012-10-02,"12:00:00 PM","NB",0
"14",2012-10-02,"01:00:00 PM","NB",7
"15",2012-10-02,"02:00:00 PM","NB",55
"16",2012-10-02,"03:00:00 PM","NB",81
"17",2012-10-02,"04:00:00 PM","NB",167
"18",2012-10-02,"05:00:00 PM","NB",393
"19",2012-10-02,"06:00:00 PM","NB",236
"20",2012-10-02,"07:00:00 PM","NB",104
"21",2012-10-02,"08:00:00 PM","NB",51
"22",2012-10-02,"09:00:00 PM","NB",35
"23",2012-10-02,"10:00:00 PM","NB",27
"24",2012-10-02,"11:00:00 PM","NB",9
"25",2012-10-03,"12:00:00 AM","NB",9
"26",2012-10-03,"01:00:00 AM","NB",6
"27",2012-10-03,"02:00:00 AM","NB",1
"28",2012-10-03,"03:00:00 AM","NB",3
"29",2012-10-03,"04:00:00 AM","NB",1
"30",2012-10-03,"05:00:00 AM","NB",10
"31",2012-10-03,"06:00:00 AM","NB",50
"32",2012-10-03,"07:00:00 AM","NB",95
"33",2012-10-03,"08:00:00 AM","NB",146
"34",2012-10-03,"09:00:00 AM","NB",104
"35",2012-10-03,"10:00:00 AM","NB",46
"36",2012-10-03,"11:00:00 AM","NB",32
"37",2012-10-03,"12:00:00 PM","NB",41
"38",2012-10-03,"01:00:00 PM","NB",48
"39",2012-10-03,"02:00:00 PM","NB",51
"40",2012-10-03,"03:00:00 PM","NB",92
"41",2012-10-03,"04:00:00 PM","NB",182
"42",2012-10-03,"05:00:00 PM","NB",391
"43",2012-10-03,"06:00:00 PM","NB",258
"44",2012-10-03,"07:00:00 PM","NB",69
"45",2012-10-03,"08:00:00 PM","NB",51
"46",2012-10-03,"09:00:00 PM","NB",38
"47",2012-10-03,"10:00:00 PM","NB",25
"48",2012-10-03,"11:00:00 PM","NB",12
"49",2012-10-04,"12:00:00 AM","NB",11
"50",2012-10-04,"01:00:00 AM","NB",0
"51",2012-10-04,"02:00:00 AM","NB",6
"52",2012-10-04,"03:00:00 AM","NB",3
"53",2012-10-04,"04:00:00 AM","NB",1
"54",2012-10-04,"05:00:00 AM","NB",11
"55",2012-10-04,"06:00:00 AM","NB",51
"56",2012-10-04,"07:00:00 AM","NB",89
"57",2012-10-04,"08:00:00 AM","NB",134
"58",2012-10-04,"09:00:00 AM","NB",94
"59",2012-10-04,"10:00:00 AM","NB",53
"60",2012-10-04,"11:00:00 AM","NB",55
"61",2012-10-04,"12:00:00 PM","NB",50
"62",2012-10-04,"01:00:00 PM","NB",71
"63",2012-10-04,"02:00:00 PM","NB",56
